id,factor,category,subcategory,prime
1228,Appliances breaking,SDOH,environmental,NULL
1229,Scams/ripped off by companies & insurance companies,SDOH,environmental,NULL
1230,Getting the runaround when looking for help,SDOH,environmental,NULL
1231,It is rare to find professionals who specializes in tbi,SDOH,environmental,NULL
1232,Scammers and thieves,SDOH,environmental,NULL
1233,Unorganized files,SDOH,environmental,NULL
1234,Spilling/breaking,SDOH,wellness,NULL
1235,Out door work,SDOH,travel,NULL
1236,Dry eye,medical,cognitive,NULL
1237,o,medical,F,NULL
1238,Focus,medical,speech,NULL
1239,Focus,medical,cognitive,NULL
1240,Ambiguity,medical,vision,NULL
1241,Top,medical,cognitive,NULL
1242,Focus,medical,vision,NULL
1243,Clean idea,medical,cognitive,NULL
1244,Zxc,SDOH,travel,NULL
1245,Cxv,SDOH,wellness,NULL
1246,Add,medical,physical,NULL
1247,None,medical,cognitive,NULL
1248,None,medical,sleep,NULL
1250,None,medical,emotional,NULL
1249,None,medical,vision,NULL
1251,None,medical,physical,NULL
1252,Cognitive test,medical,cognitive,NULL
1253,Test,SDOH,wellness,NULL
1254,Sleep test,medical,sleep,NULL
1255,Emotional test,medical,emotional,NULL
1256,Speech test2,medical,speech,NULL
1257,Ajsdfh,SDOH,other,NULL
1258,Ajsdfh,SDOH,other,NULL
1259,V,SDOH,wellness,NULL
1260,Zoom,SDOH,screen time,NULL
1261,"Tinnitus,visual snow, floaters, tingling/ numbness of legs/ arma",medical,cognitive,NULL
1262,Flashing pin dots in visual field,medical,cognitive,NULL
1263,Sponateous laughing,medical,emotional,NULL
1264,Not satisfied with food intake,SDOH,Dietary,NULL
1265,Flu/booster shot,SDOH,environmental,NULL
1266,Left-side hemiplegia,medical,physical,NULL
1267,Speech dysarthria,medical,speech,NULL
1268,Hard time falling asleep and then hard time waking up at reasonable hours,medical,sleep,NULL
1269,Pseudobulbar affect: exaggerated/uncontrollable laughter or crying,medical,emotional,NULL
1270,Left-side hemiplegia,medical,physical,NULL
1271,Speech dysarthria,medical,speech,NULL
1272,Lack of fullness,SDOH,Dietary,NULL
1273,Chores,SDOH,wellness,NULL
1274,Lllll,medical,cognitive,NULL
1275,Flying,SDOH,wellness,NULL
1276,Meditation,SDOH,wellness,NULL
1277,Nystagmus,medical,vision,NULL
1278,NULL,medical,speech,NULL
1279,Bumps on tongue - painful,SDOH,wellness,NULL
1280,Movie,SDOH,screen time,NULL
1281,Work over load,SDOH,screen time,NULL
1282,Situational mutism,medical,speech,NULL
1283,Death in family - cody,SDOH,environmental,NULL
1284,Reverb noise in rooms,SDOH,screen time,NULL
1285,Fatigue,SDOH,wellness,NULL
1286,Very cold all over,medical,physical,NULL
1287,Loss of peripheral vision,medical,vision,NULL
1288,Very cold all over,medical,physical,NULL
1289,Loss of peripheral vision,medical,vision,NULL
1290,Listening to conversation,SDOH,situational,NULL
1291,Flashes of light/ floaters,medical,vision,NULL
1292,Flashes of light/ floaters,medical,vision,NULL
1293,Tooth problem,SDOH,wellness,NULL
1294,Tracking food,SDOH,Dietary,NULL
1295,Not sure what to eat,SDOH,Dietary,NULL
1296,Peripherals not always accurate,medical,vision,NULL
1297,Executive functioning,medical,cognitive,NULL
1298,Peripherals not always accurate,medical,vision,NULL
1299,Mri machine,SDOH,other,NULL
1301,Mri machine,SDOH,other,NULL
1300,Inability to drive with wipers on,SDOH,travel,NULL
1302,Work-coaching,SDOH,situational,NULL
1303,Yawn alot,medical,sleep,NULL
1304,Lost my job,SDOH,situational,NULL
1305,Twisting movement,SDOH,wellness,NULL
1306,Difficulty driving,medical,physical,NULL
1307,"Can't fall asleep becasue cannot make body relax",medical,sleep,NULL
1308,Frequent panic attacks while driving,medical,emotional,NULL
1309,"Can't fall asleep becasue cannot make body relax",medical,sleep,NULL
1310,Frequent panic attacks while driving,medical,emotional,NULL
1311,"Mall shopping, visual testing",SDOH,environmental,NULL
1312,None,SDOH,Dietary,NULL
1313,None,SDOH,travel,NULL
1314,Trouble driving,SDOH,travel,NULL
1315,Hvec vision testing yesterday,SDOH,wellness,NULL
1316,Yoga,SDOH,wellness,NULL
1317,Work,SDOH,wellness,NULL
1318,Public people!,SDOH,situational,NULL
1319,Mental or physical exertion,SDOH,other,NULL
1320,Mental or physical exertion,SDOH,other,NULL
1321,None,SDOH,wellness,NULL
1322,Eye strain,medical,vision,NULL
1323,Gritty eyes,medical,vision,NULL
1324,Eye strain,medical,vision,NULL
1325,Gritty eyes,medical,vision,NULL
1326,Difficulty reading,medical,vision,NULL
1327,Difficulty reading,medical,vision,NULL
1328,Minimal use,SDOH,screen time,NULL
1329,Flashes / floaters,medical,vision,NULL
1330,Flashes / floaters,medical,vision,NULL
1331,Fever/fighting virus,SDOH,wellness,NULL
1332,Prosopagnosia,medical,cognitive,NULL
1333,Inability to sequence,medical,cognitive,NULL
1334,Aphasia,medical,speech,NULL
1335,Date/time dysphoria,medical,cognitive,NULL
1336,Inability to hear when background noises exist,medical,physical,NULL
1337,None,SDOH,environmental,NULL
1338,None,SDOH,situational,NULL
1339,Did not sleep well,SDOH,wellness,NULL
1340,Left visual field loss,medical,vision,NULL
1341,Talking,SDOH,other,NULL
1342,Talking,SDOH,other,NULL
1343,Waves of nausea,medical,physical,NULL
1344,Difficult to look to the right,medical,vision,NULL
1345,Cycles of being up and then crashing,medical,sleep,NULL
1346,Waves of nausea,medical,physical,NULL
1347,Difficult to look to the right,medical,vision,NULL
1348,Right ear feels plugged,medical,physical,NULL
1349,Floaters,medical,vision,NULL
1350,Right ear feels plugged,medical,physical,NULL
1351,Floaters,medical,vision,NULL
1352,None,SDOH,screen time,NULL
1353,Cold weather,SDOH,wellness,NULL
1354,Bright light,SDOH,other,NULL
1355,Getting over being sick,SDOH,situational,NULL
1356,Feeling stressed and anxious chest pains,SDOH,Other,NULL
1357,"Not slurred speech, but often says the wrong word or messes us words",medical,speech,NULL
1358,"Not slurred speech, but often says the wrong word or messes us words",medical,speech,NULL
1359,None,SDOH,Other,NULL
1360,Heel pain,SDOH,wellness,NULL
1361,Muscle spasms,medical,physical,NULL
1362,Stabbing pain behind right eye after reading,medical,vision,NULL
1363,Flashes and floaters,medical,vision,NULL
1364,Muscle spasms,medical,physical,NULL
1365,Stabbing pain behind right eye after reading,medical,vision,NULL
1366,Flashes and floaters,medical,vision,NULL
1369,Can only drive for ten minutes,medical,physical,NULL
1367,Frequent burping,medical,physical,NULL
1368,Having to spit all the time,medical,physical,NULL
1371,No support from hospitals,SDOH,Other,NULL
1370,Right knee close to bone to bone,SDOH,wellness,NULL
1372,Left eye pain,medical,vision,NULL
1373,Throat,medical,cognitive,NULL
1374,Feel dead inside,medical,emotional,NULL
1375,Annoyance with multiple phone noises at once. get annoyed.,SDOH,Other,NULL
1376,"Anxious for wheeltrans time/pick up, panic, get stressed and anxious",SDOH,Other,NULL
1377,Integrating back into society.,SDOH,Other,NULL
1378,"People who help but forget you are disabled, frustration",SDOH,Other,NULL
1379,Brain overload,SDOH,screen time,NULL
1380,Annoyance with multiple phone noises at once. get annoyed.,SDOH,Other,NULL
1381,"Anxious for wheeltrans time/pick up, panic, get stressed and anxious",SDOH,Other,NULL
1382,"People who help but forget you are disabled, frustration",SDOH,Other,NULL
1383,Integrating back into society.,SDOH,Other,NULL
1384,Feel nothing,medical,emotional,NULL
1385,Pain inlet finger fingerbed,medical,physical,NULL
1386,Adfad,medical,physical,NULL
1387,Adfad,medical,physical,NULL
1388,Work online,SDOH,screen time,NULL
1389,Tightness burning in my lats from sitting working on  tablet,SDOH,screen time,NULL
1390,Glass of wine,SDOH,wellness,NULL
1391,"Sugar in forms of banana, orange, and chocolate cookie",SDOH,Dietary,NULL
1392,Unexpected intake call from healthcare provider,SDOH,screen time,NULL
1393,15 minutes of email,SDOH,screen time,NULL
1394,Bed ~1:30am last night,SDOH,Other,NULL
1395,My dog,SDOH,situational,NULL
1396,Virtual meeting with dietician caused headache (centre forehead),SDOH,screen time,NULL
1397,"Wasn't hungry for lunch (ate at 4pm) or dinner (made something at 8:00) today. woke up at 8:00 am.",SDOH,Dietary,NULL
1398,"It was scary today when i was walking the dog. i didn't notice someone on my right side until the dog stopped to sniff and i physically turned my head to check surroundings.",medical,vision,NULL
1399,Wrestling meet,SDOH,Other,NULL
1400,Stiff neck & shoulders,SDOH,wellness,NULL
1401,Movement,SDOH,wellness,NULL
1402,Cheer competition,SDOH,screen time,NULL
1403,Baby sitting 3month and 2 year old over night,SDOH,situational,NULL
1404,Recovering from cheer competition,SDOH,travel,NULL
1405,Air pressure 101.1,SDOH,Other,NULL
1406,Some tv,SDOH,screen time,NULL
1407,Heading home from dr and starting to snow,SDOH,environmental,NULL
1409,Jaw/ear/tmj pain,medical,cognitive,NULL
1410,Sinus pain,medical,cognitive,NULL
1435,Very cold,SDOH,environmental,NULL
1443,4 hours of driving,SDOH,travel,NULL
1467,Bright lights at night,SDOH,environmental,NULL
1487,Carried skis from work,SDOH,travel,NULL
1538,Impulsiveness,medical,cognitive,NULL
1559,Possible narcolepsy?,medical,sleep,NULL
1562,Noro virus,SDOH,Dietary,NULL
1586,Cough,SDOH,wellness,NULL
1613,Dieting,SDOH,Dietary,NULL
1639,Va and med board bs,SDOH,situational,NULL
1671,Difficulty with word retrieval,medical,speech,NULL
1699,Sometimes inability to speak,medical,cognitive,NULL
1726,Qtc/va,SDOH,situational,NULL
1735,Holding steady slowly coming down,SDOH,Dietary,NULL
1758,Afterimage in vision,medical,vision,NULL
1790,Stomach upset,SDOH,wellness,NULL
1810,Neck ache,SDOH,wellness,NULL
1887,I can sleep anywhere at anytime,medical,sleep,NULL
1910,Hed and neck ache,SDOH,wellness,NULL
1915,Driving felt dizzy,SDOH,situational,NULL
1935,Socialiozing,SDOH,situational,NULL
1948,Grumpy & frustrated,SDOH,wellness,NULL
1968,Hypochondria,medical,physical,NULL
1989,Fatigue,medical,physical,NULL
2009,"Flashing lights, two or more people talking at once, loud noise, usual noise ee",SDOH,wellness,NULL
2016,Increased sense of smell,medical,physical,NULL
2042,Thoughts about torsten - emotional,SDOH,situational,NULL
2052,"Stuck in my own mind, and silence is my new response",SDOH,situational,NULL
2073,Busy sensory environment,SDOH,wellness,NULL
2095,Not following as strict of diet/vacation and completed supplements,SDOH,Dietary,NULL
2103,Pets are upset at noise today,SDOH,Other,NULL
2147,Dizzy,SDOH,wellness,NULL
2183,Personal care issues,medical,speech,NULL
2198,Over-focusing,medical,cognitive,NULL
2230,Carpal tunnel syndrome falre ups,SDOH,wellness,NULL
2342,Contar hasta 10 es desafiante ,medical,speech,NULL
1411,Eye twitch,medical,physical,NULL
1436,Skiing,SDOH,travel,NULL
1444,Did new spin class,SDOH,Other,NULL
1468,I have to listen to my boom,SDOH,screen time,NULL
1488,Sick af,SDOH,wellness,NULL
1539,Students,SDOH,situational,NULL
1560,Mom,SDOH,situational,NULL
1563,Medical issues,SDOH,situational,NULL
1587,R.v. road trip,SDOH,travel,NULL
1614,Trouble breathing,SDOH,wellness,NULL
1640,Staying on tract,SDOH,Dietary,NULL
1672,Ocular migraines,medical,cognitive,NULL
1700,Sore neck,SDOH,wellness,NULL
1727,Qtc / va,SDOH,screen time,NULL
1736,Depressd,SDOH,wellness,NULL
1759,Afterimage in vision,medical,vision,NULL
1791,Movement from dr eval,SDOH,wellness,NULL
1811,Nightmares,SDOH,wellness,NULL
1888,Others,medical,cognitive,NULL
1911,Nausea,SDOH,wellness,NULL
1916,Dry eyes,SDOH,wellness,NULL
1936,Appeal paperwork /organizing,SDOH,situational,NULL
1949,Shingles outbreak,SDOH,wellness,NULL
1969,Lack of desire to eat yet have access to food,SDOH,Dietary,NULL
1990,Working at loosing weight,SDOH,Dietary,NULL
2010,"Such as stores, new environment and locations,",SDOH,wellness,NULL
2017,Words do not look right as in not spelled correctly or that they are words,medical,vision,NULL
2043,Episodic memory loss,medical,cognitive,NULL
2053,Trouble reading out loud,medical,cognitive,NULL
2074,Trouble finding the right words,medical,speech,NULL
2096,High mold countunt,SDOH,environmental,NULL
2097,Tight neck adn shouldersouirlers,SDOH,wellness,NULL
2104,Pets are upset at noise today,SDOH,Other,NULL
2148,Calves aching,SDOH,wellness,NULL
2184,High concentration,SDOH,wellness,NULL
2199,Lack of protein,SDOH,Dietary,NULL
2200,Poor sleep  hygiene,SDOH,wellness,NULL
2201,Lack of protein,SDOH,Dietary,NULL
2231,Impulsividad,medical,emotional,NULL
2232,Sensibilidad,medical,emotional,NULL
2233,Dislexia,medical,cognitive,NULL
2235,Apnea del sueño,medical,sleep,NULL
2236,Ataques de pánico,medical,emotional,NULL
2239,Fatiga,medical,sleep,NULL
2343,Contar hasta 10 es desafiante ,medical,speech,NULL
1412,Full body tingling,medical,physical,NULL
1413,Halos,medical,vision,NULL
1437,Elevation and air pressure changes,SDOH,travel,NULL
1445,Sick due. to sinus infection?,SDOH,Other,NULL
1469,Motivation,medical,cognitive,NULL
1489,Fall asleep asap - wake up 4 or 5 times a night,medical,sleep,NULL
1490,Intense dreams,medical,sleep,NULL
1493,Hyper busy to keep from stress or depression,medical,emotional,NULL
1497,Super intense exercise,medical,physical,NULL
1502,Cannot recall names,medical,cognitive,NULL
1503,Read backwards,medical,cognitive,NULL
1505,Intense dreams,medical,sleep,NULL
1506,Some dreams make me depressed in am,medical,sleep,NULL
1507,Hyper busy to keep from stress or depression,medical,emotional,NULL
1509,Cannot let mind rest,medical,emotional,NULL
1515,Wife helps w coaching,medical,speech,NULL
1540,Gerd,medical,cognitive,NULL
1561,Diarrhea,SDOH,Dietary,NULL
1564,Hot flashes,medical,physical,NULL
1588,Intentionally lousing weight,SDOH,Dietary,NULL
1615,Spine and stomach discomfort,SDOH,wellness,NULL
1641,Eye twitching,medical,vision,NULL
1642,Eye twitching,medical,vision,NULL
1673,Mental fatigue,medical,cognitive,NULL
1701,Head pain,SDOH,wellness,NULL
1728,Consist  physical movement,SDOH,wellness,NULL
1729,Not having much physical movement,SDOH,wellness,NULL
1737,Random nerve pain,SDOH,wellness,NULL
1760,Heightened startle response,medical,emotional,NULL
1761,Numbness/tingling in hands,medical,physical,NULL
1762,Headaches caused by glare,medical,vision,NULL
1763,Heightened startle response,medical,emotional,NULL
1764,Numbness/tingling in hands,medical,physical,NULL
1792,Long morning with dr appt,SDOH,environmental,NULL
1812,"Fearful, could not focus on anything, only my safety.",SDOH,wellness,NULL
1889,"Don't know my triggers",SDOH,wellness,NULL
1912,"Nausea, dizziness",medical,physical,NULL
1917,Highs and lows,medical,emotional,NULL
1937,No alone time,SDOH,environmental,NULL
1938,Va not helping. rumors about me. service dog sick. pet dog injured.,SDOH,situational,NULL
1950,Depression,SDOH,wellness,NULL
1970,Very dry eyes ad,SDOH,wellness,NULL
1991,Tired - did nt sleep well,SDOH,wellness,NULL
2011,"Flashing lights and shadows, noise or multiple conversations, complex environments such as grocery store, fast movement such aswarching dance or sportslive or on tv.",SDOH,wellness,NULL
2018,Increased sense of smell,medical,physical,NULL
2044,Body aches,SDOH,wellness,NULL
2054,Medication order,SDOH,situational,NULL
2075,Resistance training,SDOH,wellness,NULL
2098,Living situation,SDOH,situational,NULL
2105,Back ache an neck ache,SDOH,wellness,NULL
2149,Dropping things,SDOH,wellness,NULL
2185,Siatica,SDOH,wellness,NULL
2202,Right eye injury,SDOH,wellness,NULL
2234,Somnolencia,medical,sleep,NULL
2237,Impulsividad,medical,emotional,NULL
2238,Sensibilidad,medical,emotional,NULL
2345,Dificultad para entender ideas abstractas,medical,speech,NULL
1414,Hazy vision,medical,vision,NULL
1438,Army work,SDOH,wellness,NULL
1446,Chrones,SDOH,Dietary,NULL
1470,Florence lights,SDOH,environmental,NULL
1491,Some dreams make me depressed in am,medical,sleep,NULL
1492,Zoloft used but messed up routine,medical,emotional,NULL
1494,Cannot let mind rest,medical,emotional,NULL
1495,Confrontation can fester in my mind,medical,emotional,NULL
1496,Double shot espresso & med redbull to get going,medical,physical,NULL
1498,Diarrhea,medical,physical,NULL
1499,Procrastination constant battle,medical,speech,NULL
1500,Wife helps w coaching,medical,speech,NULL
1501,Favors for other cannot remember,medical,cognitive,NULL
1504,Fall asleep asap - wake up 4 or 5 times a night,medical,sleep,NULL
1508,Zoloft used but messed up routine,medical,emotional,NULL
1510,Confrontation can fester in my mind,medical,emotional,NULL
1511,Double shot espresso & med redbull to get going,medical,physical,NULL
1541,Fear,SDOH,wellness,NULL
1565,Losing vision,medical,vision,NULL
1589,Eye fatgiue,medical,vision,NULL
1592,Eye fatgiue,medical,vision,NULL
1616,Allergies,SDOH,wellness,NULL
1643,Especially focusing for reading,SDOH,screen time,NULL
1644,Especially focusing for reading,SDOH,screen time,NULL
1674,Golf cart,SDOH,travel,NULL
1702,Feet problems,SDOH,wellness,NULL
1730,Tracking,SDOH,Dietary,NULL
1738,Staying on track,SDOH,Dietary,NULL
1765,Headaches caused by glare,medical,vision,NULL
1793,Friends kids annoying,SDOH,situational,NULL
1813,Harassment,SDOH,wellness,NULL
1890,Difficult to perform math in head,medical,speech,NULL
1892,Difficult to perform math in head,medical,speech,NULL
1913,"Nausea, dizziness",medical,physical,NULL
1918,"Back ache, and neck ache",SDOH,wellness,NULL
1939,Under eating,SDOH,wellness,NULL
1951,Fibromyalgia,SDOH,wellness,NULL
1971,Vehicle repair damage caused safety concerns not being addressed by company,SDOH,situational,NULL
1992,Just do not feel right,SDOH,wellness,NULL
2012,"Flashing lights and shadows, noise or multiple conversations, complex environments such as grocery store, fast movement such aswarching dance or sportslive or on tv.",SDOH,wellness,NULL
2019,Words do not look right as in not spelled correctly or that they are words,medical,vision,NULL
2045,Chest ache,SDOH,wellness,NULL
2055,Homonyous hemianopia,medical,vision,NULL
2076,Loss of grasping,medical,physical,NULL
2099,Back pain,SDOH,wellness,NULL
2106,Venus insufficency,SDOH,wellness,NULL
2150,Stoamch ache,SDOH,wellness,NULL
2186,Shopping,medical,speech,NULL
2203,Dogs out,SDOH,wellness,NULL
2240,NULL,SDOH,situational,NULL
2344,Dificultad para entender ideas abstractas,medical,speech,NULL
1415,Shaking attacks,medical,physical,NULL
1439,Lack of sleep or,SDOH,wellness,NULL
1447,Night driving,SDOH,travel,NULL
1471,Just a test account,medical,cognitive,NULL
1512,Super intense exercise,medical,physical,NULL
1513,Diarrhea,medical,physical,NULL
1514,Procrastination constant battle,medical,speech,NULL
1542,Joint pain,SDOH,wellness,NULL
1566,Stomach bug,SDOH,Dietary,NULL
1590,Eye pain/strain,medical,vision,NULL
1591,Eye pain/strain,medical,vision,NULL
1617,Struggle breathing,SDOH,environmental,NULL
1645,Headache from focusing,medical,vision,NULL
1675,Too much dairy/ice cream last night,SDOH,Dietary,NULL
1703,Facitus,SDOH,wellness,NULL
1731,Sholder sore from swimming,SDOH,wellness,NULL
1739,On target,SDOH,Dietary,NULL
1766,Heightened startle respons,medical,emotional,NULL
1767,Numbness/ tingling in hands,medical,physical,NULL
1794,Back is killing me,SDOH,wellness,NULL
1814,Visiting my sister in law in the nursing home,SDOH,situational,NULL
1891,Field loss,medical,vision,NULL
1893,Field loss,medical,vision,NULL
1914,Fall,SDOH,wellness,NULL
1919,Lost a little weight but eating moderately appetite agsin,SDOH,Dietary,NULL
1940,Neck & shoulder,SDOH,wellness,NULL
1952,Diplopia,medical,physical,NULL
1972,Cutting out high acid foods,SDOH,Dietary,NULL
1993,Sudden movements of others,SDOH,Other,NULL
2013,Misplaced work keys,SDOH,situational,NULL
2020,Eating disorder,SDOH,Dietary,NULL
2046,Neck ansd shoulder ache and chest,SDOH,wellness,NULL
2056,Back and neck an hip ache,SDOH,wellness,NULL
2077,Slurred speech,medical,cognitive,NULL
2100,Mosquito bites,SDOH,wellness,NULL
2107,Adhd,medical,cognitive,NULL
2151,Feverish,SDOH,wellness,NULL
2187,Hallucinations,medical,cognitive,NULL
2204,Showered,SDOH,wellness,NULL
2241,Agotamiento Excesivo,medical,sleep,NULL
2242,Depresión,medical,emotional,NULL
2243,Tristeza/llanto sin razón,medical,emotional,NULL
2244,Cambios de humor,medical,emotional,NULL
2245,Molestia,medical,emotional,NULL
2246,Desmotivación,medical,emotional,NULL
2251,Falta de coordinación,medical,physical,NULL
2254,Interacción social limitada,medical,speech,NULL
2257,Problemas con la disciplina propia,medical,speech,NULL
2260,Palabras brincan,medical,vision,NULL
2262,Ojos secos,medical,vision,NULL
2264,Ojos se cansan (fatigan) fácilmente o rápido: cuando hace trabajo cercano,medical,vision,NULL
2284,Manejar múltiples tareas a la vez es desafiante,medical,speech,NULL
2287,Palabras brincan,medical,vision,NULL
2292,"Dolores de cabeza causados por trabajo cercano: computadoras, leer, jugar",medical,vision,NULL
2346,Video llamadas,SDOH,screen time,NULL
2347,Consumo de azúcar,SDOH,Dietary,NULL
2349,Video llamadas,SDOH,screen time,NULL
2350,Tableta,SDOH,screen time,NULL
2351,Consumo de azúcar,SDOH,Dietary,NULL
1416,Shaking attacks,medical,physical,NULL
1440,Flashes/ floaters,medical,vision,NULL
1448,Head pressure,medical,physical,NULL
1472,"Coma 4 months, hospital for 10 months, now wheel chair, short term memory loss, speech fast, ocd, adhd,",medical,cognitive,NULL
1516,Employee,SDOH,situational,NULL
1517,Employee,SDOH,situational,NULL
1543,Skiiing,SDOH,travel,NULL
1567,Cloudy,SDOH,environmental,NULL
1593,Exhasustion,SDOH,wellness,NULL
1618,Church issues,SDOH,situational,NULL
1646,Low blood pressure,SDOH,wellness,NULL
1676,Worry about family members,SDOH,situational,NULL
1704,Feet & ankel,SDOH,wellness,NULL
1732,Tried tracking a couple household daily tasks,SDOH,wellness,NULL
1740,Maintaining,SDOH,Dietary,NULL
1768,Throbbing sensation in neck,medical,physical,NULL
1769,Neck and shoulder pain,medical,physical,NULL
1795,Wake,SDOH,situational,NULL
1815,Contrator start tomorrow,SDOH,situational,NULL
1894,Headache & neckache,SDOH,wellness,NULL
1920,Low back pain,SDOH,wellness,NULL
1941,Self servicing,SDOH,situational,NULL
1953,Jogging,SDOH,travel,NULL
1973,Rectal issues,SDOH,wellness,NULL
1994,Sudden movements of others,SDOH,Other,NULL
2014,Short tempered,SDOH,situational,NULL
2021,Eating disorder,SDOH,Dietary,NULL
2047,Doing good,SDOH,Dietary,NULL
2057,Hip & back pain,SDOH,wellness,NULL
2078,Aggitation,medical,emotional,NULL
2079,Sensitivity to light touch/shower water,medical,physical,NULL
2080,Losing vision again post vision therapy,medical,vision,NULL
2101,Low blood perwssure,SDOH,wellness,NULL
2108,Swollen legs,SDOH,wellness,NULL
2152,Vision disturbances,SDOH,wellness,NULL
2188,Overdid cleaning,SDOH,wellness,NULL
2205,Coffee maybe,SDOH,wellness,NULL
2247,Sensibilidad a la luz,medical,physical,NULL
2248,Sensaciones del corazón,medical,physical,NULL
2250,Caída de objetos inexplicable,medical,physical,NULL
2253,Problemas manteniéndose organizado,medical,speech,NULL
2256,Manejar múltiples tareas a la vez es desafiante,medical,speech,NULL
2259,Visión borrosa,medical,vision,NULL
2266,"Dolores de cabeza causados por trabajo cercano: computadoras, leer, jugar",medical,vision,NULL
2267,Poco/Pobre Sueño,medical,sleep,NULL
2268,Agotamiento Excesivo,medical,sleep,NULL
2285,Visión borrosa,medical,vision,NULL
2288,La luz molesta,medical,vision,NULL
2291,Ojos se cansan (fatigan) fácilmente o rápido: cuando hace trabajo cercano,medical,vision,NULL
2348,Avión,SDOH,travel,NULL
1417,Conflict,SDOH,Other,NULL
1419,Grocery store lines,SDOH,Other,NULL
1441,Flashes/ floaters,medical,vision,NULL
1449,Feeling concussed,medical,physical,NULL
1451,Feeling concussed,medical,physical,NULL
1473,"Coma 4 months, hospital for 10 months, now wheel chair, short term memory loss, speech fast, ocd, adhd,",medical,cognitive,NULL
1518,Ski,SDOH,travel,NULL
1544,Neck tightness,SDOH,Other,NULL
1568,Holidays,SDOH,situational,NULL
1594,Standing,SDOH,travel,NULL
1619,"Less so, but a type of aphasia that creates errors with word retrieval during typing.",medical,cognitive,NULL
1647,Increased sensitivity to smell,medical,physical,NULL
1677,Neck pain,SDOH,wellness,NULL
1705,Stress from tbi,SDOH,wellness,NULL
1733,Difficulty writing,medical,speech,NULL
1741,Overwhelmed easily,medical,emotional,NULL
1742,"\"pulling\" sensation behind left eye",medical,vision,NULL
1743,Overwhelmed easily,medical,emotional,NULL
1744,"\"pulling\" sensation behind left eye",medical,vision,NULL
1770,Heightened sense of smell,medical,physical,NULL
1771,Difficulty doing math in head,medical,speech,NULL
1774,Difficulty doing math in head,medical,speech,NULL
1796,Sensation of pressure in ears,medical,physical,NULL
1816,Leg cramps,SDOH,wellness,NULL
1895,Arthritis,SDOH,wellness,NULL
1921,Arthritis pain in thubs,SDOH,wellness,NULL
1942,Smoking,SDOH,screen time,NULL
1954,Jogging,SDOH,travel,NULL
1974,Back & neck hurt,SDOH,wellness,NULL
1995,Sinus headache,SDOH,wellness,NULL
2015,Irratibility,medical,emotional,NULL
2022,Watching diet,SDOH,Dietary,NULL
2048,Mild headache,SDOH,wellness,NULL
2058,NULL,SDOH,wellness,NULL
2082,Distressed about failing vision,medical,emotional,NULL
2102,Bsck an neck ache,SDOH,wellness,NULL
2109,Anxiety,SDOH,situational,NULL
2153,Speech,SDOH,wellness,NULL
2189,Hands/wrists pain,SDOH,wellness,NULL
2206,Niebla del cerebro. Falta de enfoque,medical,cognitive,NULL
2249,Irritabilidad,medical,emotional,NULL
2252,Menos responsivo al ambiente,medical,speech,NULL
2255,Comunicación limitada,medical,speech,NULL
2258,Dificultad tragando,medical,speech,NULL
2261,La luz molesta,medical,vision,NULL
2263,Irritado por lugares visualmente ocupados,medical,vision,NULL
2265,Las palabras se mueven al leer,medical,vision,NULL
2269,Depresión,medical,emotional,NULL
2270,Tristeza/llanto sin razón,medical,emotional,NULL
2271,Cambios de humor,medical,emotional,NULL
2272,Desmotivación,medical,emotional,NULL
2273,Molestia,medical,emotional,NULL
2274,Irritabilidad,medical,emotional,NULL
2275,Sensaciones del corazón,medical,physical,NULL
2276,Caída de objetos inexplicable,medical,physical,NULL
2277,Sensibilidad a la luz,medical,physical,NULL
2278,Falta de coordinación,medical,physical,NULL
2279,Problemas manteniéndose organizado,medical,speech,NULL
2280,Interacción social limitada,medical,speech,NULL
2281,Menos responsivo al ambiente,medical,speech,NULL
2282,Problemas con la disciplina propia,medical,speech,NULL
2283,Comunicación limitada,medical,speech,NULL
2286,Dificultad tragando,medical,speech,NULL
2289,Ojos secos,medical,vision,NULL
2290,Irritado por lugares visualmente ocupados,medical,vision,NULL
2293,Las palabras se mueven al leer,medical,vision,NULL
2352,Temblorosidad,medical,sleep,NULL
2355,Tremores en las manos,medical,physical,NULL
2356,Dificultad expresando necesidades,medical,speech,NULL
2357,Brincar líneas: al leer texto (en papel o computadora) brinco líneas,medical,vision,NULL
1418,Grocery store lines,SDOH,Other,NULL
1420,Conflict,SDOH,Other,NULL
1442,Limited screen time no more than an hour,SDOH,screen time,NULL
1450,Head pressure,medical,physical,NULL
1474,Movement,SDOH,travel,NULL
1521,Upper back pain,medical,physical,NULL
1523,Seeing horizontal lines s,medical,vision,NULL
1524,Quick eye movement makes me dizzy,medical,vision,NULL
1527,Ribs pop out,medical,physical,NULL
1545,Neck tightness,SDOH,Other,NULL
1569,Shakiness,SDOH,wellness,NULL
1595,Gluten?,SDOH,Dietary,NULL
1620,Drill weekend,SDOH,wellness,NULL
1648,Startle easily,medical,physical,NULL
1649,Increased sensitivity to smell,medical,physical,NULL
1650,Startle easily,medical,physical,NULL
1678,Va garbage,SDOH,wellness,NULL
1706,Numb,medical,emotional,NULL
1715,Lots of feeling in lower extremities on and off,medical,physical,NULL
1734,Difficulty writing,medical,speech,NULL
1745,Ok,SDOH,Dietary,NULL
1772,Pain behind eyes,medical,vision,NULL
